Unnamed: 0,food,price_per_100g_amd
2185,veal shoulder cooked,1800
2186,beef tenderloin steak raw,80
2187,veal shank cooked,1800
2188,beef brisket raw,1400
2189,pastrami beef,1400
2190,beef flank steak raw,80
2191,beef top sirloin steak cooked,80
2192,veal breast raw,1800
2193,beef rib raw,1400
2194,beef jerky,1800
2195,beef breakfast strips cooked,1400
2196,pork olive loaf,500
2197,beef luncheon meat jellied,1400
2198,turkey pastrami,900
2199,pork salami,900
2200,canadian style bacon raw,1000
2201,honey loaf,700
2202,pork beef salami,1400
2203,beef pork bologna,1400
2204,pork beef salami cooked,1400
2205,pork breakfast strips raw,900
2206,pickle pimiento loaf,150
2207,luxury loaf,300
2208,mortadella,900
2209,pork bologna,900
2210,turkey salami cooked,900
2211,pepperoni beef,180
2212,peppered loaf,180
2213,luncheon meat beef,1400
2214,lebanon bologna,900
2215,chicken pork bologna,900
2216,turkey roll,300
2217,beef salami cooked,1400
2218,yachtwurst cooked,300
2219,italian salami,900
2220,turkey ham,1000
2221,turkey bologna,900
2222,sliced turkey breast,1200
2223,luncheon meat pork beef,1400
2224,beef bologna,1400
2225,turkey bacon cooked,300
2226,ground emu cooked,300
2227,ostrich leg raw,300
2228,ostrich strip raw,300
2229,emu fillet cooked,300
2230,ostrich tenderloin raw,1800
2231,emu drums cooked,2000
2232,green turtle raw,300
2233,ground bison cooked,300
2234,goat meat raw,300
2235,ground emu raw,300
2236,ground ostrich raw,300
2237,ostrich tip cooked,300
2238,caribou cooked,300
2239,ground ostrich cooked,300
2240,ostrich leg cooked,300
2241,ostrich top loin cooked,300
2242,ostrich strip cooked,300
2243,ostrich tip raw,300
2244,ostrich round raw,300
2245,ground bison raw,300
2246,ostrich fan raw,300
2247,ostrich top loin raw,300
2248,veal brain cooked,1800
2249,veal tongue cooked,1800
2250,beef heart cooked,1400
2251,turkey liver cooked,500
2252,veal thymus cooked,1800
2253,beef brain cooked,1400
2254,beef pancreas cooked,1400
2255,beef tripe cooked,1400
2256,chicken gizzard cooked,900
2257,pork pancreas cooked,900
2258,beef tongue cooked,1400
2259,lamb heart cooked,1600
2260,beef spleen cooked,1400
2261,veal kidneys cooked,1800
2262,chicken heart cooked,900
2263,lamb tongue cooked,1600
2264,veal heart cooked,1800
2265,chicken liver cooked,900
2266,lamb pancreas cooked,1600
2267,veal spleen cooked,1800
2268,lamb liver cooked,1600
2269,turkey gizzard cooked,500
2270,lamp spleen cooked,500
2271,turkey heart cooked,500
2272,beef liver cooked,1400
2273,lamb lungs cooked,1600
2274,pork brain cooked,900
2275,goose liver,1600
2276,pork kidneys cooked,900
2277,lamb brain cooked,1600
2278,pork heart cooked,900
2279,lamb kidneys cooked,1600
2280,beef lungs cooked,1400
2281,veal pancreas cooked,1800
2282,pork liver cooked,900
2283,beef kidneys cooked,1400
2284,turkey giblets cooked,500
2285,duck liver raw,1600
2286,veal liver cooked,1800
2287,pork lungs cooked,900
2288,veal lungs cooked,1800
2289,beef thymus cooked,1400
2290,ham,1000
2291,pork meat cooked,900
2292,bacon roasted,1000
2293,pork top loin roasts raw,900
2294,pork blade roll raw,900
2295,pork backribs raw,900
2296,pork spareribs cooked,900
2297,pork stomach cooked,900
2298,honey smoked ham cooked,700
2299,boston butt steak raw,80
2300,pork sirloin chops cooked,1800
2301,pork country style ribs raw,900
2302,ham patties,1000
2303,pork feet cooked,900
2304,ground pork cooked,900
2305,pork centre loin chops cooked,900
2306,pork leg cap steak cooked,80
2307,pork blade chops raw,900
2308,pork tenderloin raw,1800
2309,pork sirloin chops raw,1800
2310,pork leg cap steak raw,80
2311,pork carcass raw,900
2312,pork splean cooked,900
2313,chopped ham,1000
2314,pork centre loin chops raw,900
2315,pork blade chops cooked,900
2316,boston butt steak cooked,80
2317,pork meat raw,900
2318,pork top loin chops raw,900
2319,pork blade steak braised,80
2320,pork boston steaks cooked,80
2321,bacon cooked,1000
2322,pickled pork hocks,150
2323,pork boston roast cooked,900
2324,canadian style bacon grilled,1000
2325,ham steak,80
2326,pork backfat,900
2327,bacon baked,1000
2328,pork arm picnic raw,900
2329,salt pork raw,50
2330,pork arm picnic cooked,900
2331,pork top loin chops cooked,900
2332,ground pork raw,900
2333,pork shoulder raw,1000
2334,pork chitterlings cooked,900
2335,pork breakfast strips cooked,900
2336,pork blade roll roasted,900
2337,pork tail cooked,900
2338,pork centre rib roasts raw,900
2339,pork centre rib roasts roasted,900
2340,minced ham,1000
2341,ham roasted,1000
2342,pork loin raw,1000
2343,pork backribs roasted,900
2344,pork belly raw,900
2345,ham raw,1000
2346,ham extra lean,1000
2347,pork feet pickled,150
2348,pork shoulder cooked,1000
2349,pork top loin roasts roasted,900
2350,pork skin,900
2351,pork country style ribs cooked,900
2352,pork blade steak raw,80
2353,pork tenderloin cooked,1800
2354,pork loin cooked,1000
2355,pork ears cooked,900
2356,pork tongue cooked,900
2357,pork spareribs raw,900
2358,ham patties grilled,1000
2359,chicken skin roasted,900
2360,turkey breast raw,1200
2361,ground turkey raw,900
2362,chicken wing cooked,700
2363,turkey roast roasted,1200
2364,pheasant meat raw,1600
2365,chicken back raw,700
2366,chicken back cooked,700
2367,chicken leg fried,700
2368,chicken feet cooked,900
2369,turkey steak fried,80
2370,turkey taco meat cooked,400
2371,chicken leg raw,700
2372,chicken meat raw,900
2373,chicken neck cooked,900
2374,chicken drumstick fried,2000
2375,quail egg,600
2376,duck meat cooked,1600
2377,chicken wing roasted,700
2378,quail meat cooked,1600
2379,goose meat cooked,1600
2380,chicken breast cooked,1100
2381,chicken neck raw,900
2382,duck egg,450
2383,pheasant breast raw,1600
2384,duck meat raw,1600
2385,squab meat raw,1600
2386,chicken drumstick raw,2000
2387,turkey meat roasted,1200
2388,chicken breast raw,1100
2389,ground chicken cooked,900
2390,turkey wing cooked,300
2391,goose meat raw,1600
2392,turkey breast roasted,1200
2393,chicken fajita strips,900
2394,crispy chicken strips tyson,900
